id,name,count,ap1,ap2,ap3,ap4,ap5
6,Nova rota cicloviária,496,83,134,99,116,39
8,Redução da velocidade máxima para automóveis,49,9,13,11,10,6
1,Nova travessia de pedestre,71,10,23,17,18,3
2,Reajuste do tempo do semáforo,131,5,62,26,25,11
3,Novo ponto de ônibus,112,16,12,44,20,19
10,Alargamento de calçada,0,0,0,0,0,0
11,Novo corredor de alta capacidade,0,0,0,0,0,0
4,Novo terminal de ônibus,64,6,10,19,5,19
5,Novo posto de BikeRio,240,66,57,55,44,13
9,Novo bicicletário,0,0,0,0,0,0
7,Restrição do tráfego de automóveis,82,3,27,25,6,19
