id,name,ap,count
1,Água Santa,AP3,1
2,Abolição,AP3,1
3,Acari,AP3,1
4,Alto da Boa Vista,AP2,0
5,Anchieta,AP3,0
6,Andarai,AP2,7
7,Anil,AP4,1
8,Bancários,AP3,0
9,Bangu,AP5,1
10,Barra da Tijuca,AP4,35
11,Barra de Guaratiba,AP2,0
12,Barros Filho,AP3,1
13,Benfica,AP1,5
14,Bento Ribeiro,AP3,1
15,Bonsucesso,AP3,1
16,Botafogo,AP2,18
17,Bráz de Pina,AP3,0
18,Cachambi,AP3,6
19,Cacuia,AP3,1
20,Caju,AP1,3
21,Camorim,AP4,0
22,Campinho,AP3,0
23,Campo Grande,AP5,4
24,Campo dos Afonsos,AP5,0
25,Cascadura,AP3,1
26,Catete,AP2,1
27,Catumbi,AP1,0
28,Cavalcanti,AP3,0
29,Centro,AP1,34
30,Cidade Nova,AP1,6
31,Cidade Universitária,AP3,3
32,Cidade de Deus,AP4,3
33,Cocotá,AP3,0
34,Coelho Neto,AP3,1
35,Colégio,AP3,2
36,Complexo do Alemão,AP3,0
37,Copacabana,AP2,4
38,Cordovil,AP3,0
39,Cosme Velho,AP2,3
40,Cosmos,AP5,1
41,Costa Barros,AP3,0
42,Curicica,AP4,1
43,Del Castilho,AP3,4
44,Deodoro,AP5,0
45,Encantado,AP3,3
46,Engenheiro Leal,AP3,0
47,Engenho Novo,AP3,6
48,Engenho da Rainha,AP3,2
49,Engenho de Dentro,AP3,1
50,Estácio,AP1,0
51,Flamengo,AP2,7
52,Freguesia (Jacarepaguá),AP4,12
53,Freguesia (ilha),AP3,1
54,Galeão,AP3,1
55,Gambôa,AP1,0
56,Gardênia Azul,AP4,0
57,Gericinó,AP5,0
58,Glória,AP2,5
59,Grajau,AP2,7
60,Grumari,AP4,0
61,Guadalupe,AP3,0
62,Guaratiba,AP2,0
63,Gávea,AP2,3
64,Higienópolis,AP3,2
65,Honório Gurgel,AP3,1
66,Humaitá,AP2,3
67,Inhauma,AP3,2
68,Inhoaíba,AP5,0
69,Ipanema,AP2,1
70,Irajá,AP3,6
71,Itanhangá,AP4,2
72,Jacarepagua,AP4,0
73,Jacarezinho,AP3,0
74,Jacaré,AP3,0
75,Jardim America,AP3,0
76,Jardim Botânico,AP2,0
77,Jardim Carioca,AP3,0
78,Jardim Guanabara,AP3,0
79,Jardim Sulacap,AP3,2
80,Joá,AP4,0
81,Lagoa,AP2,4
82,Lapa,AP1,0
83,Laranjeiras,AP2,11
84,Leblon,AP2,4
85,Leme,AP2,0
86,Lins de Vasconcelos,AP3,4
87,Madureira,AP3,0
88,Magalhães Bastos,AP5,2
89,Mangueira,AP1,2
90,Manguinhos,AP3,1
91,Maracanã,AP2,8
92,Marechal Hermes,AP3,0
93,Maria da Graça,AP3,3
94,Maré,AP3,0
95,Meier,AP3,12
96,Moneró,AP3,0
97,Olaria,AP3,1
98,Oswaldo Cruz,AP3,1
99,Paciência,AP5,0
100,Padre Miguel,AP5,1
101,Paquetá,AP1,0
102,Parada de Lucas,AP3,0
103,Parque Anchieta,AP3,0
104,Parque Colúmbia,AP3,0
105,Pavuna,AP3,4
106,Pechincha,AP4,4
107,Pedra de Guaratiba,"",0
108,Penha,AP3,2
109,Penha Circular,AP3,0
110,Piedade,AP3,0
111,Pilares,AP3,2
112,Pitangueiras,AP3,0
113,Portuguesa,AP3,0
114,Praia da Bandeira,AP3,0
115,Praça Seca,AP4,1
116,Praça da Bandeira,AP2,6
117,Quintino Bocaiuva,AP3,2
118,Ramos,AP3,3
119,Realengo,AP5,1
120,Recreio dos Bandeirantes,AP4,21
121,Riachuelo,AP3,2
122,Ribeira,AP3,0
123,Ricardo de Albuquerque,AP3,0
124,Rio Comprido,AP1,3
125,Rocha,AP3,2
126,Rocha Miranda,AP3,2
127,Rocinha,AP2,0
128,Sampaio,AP3,1
129,Santa Cruz,AP5,26
130,Santa Teresa,AP1,3
131,Santo Cristo,AP1,1
132,Santíssimo,AP5,1
133,Saúde,AP1,1
134,Senador Camará,AP5,0
135,Senador Vasconcelos,AP5,1
136,Sepetiba,AP5,1
137,São Conrado,AP2,1
138,São Cristovão,AP1,19
139,São Francisco Xavier,AP3,1
140,Tanque,AP4,2
141,Taquara,AP4,16
142,Tauá,AP3,2
143,Tijuca,AP2,25
144,Todos os Santos,AP3,1
145,Tomás Coelho,AP3,0
146,Turiaçu,AP3,0
147,Urca,AP2,2
148,Vargem Grande,AP4,10
149,Vargem Pequena,AP4,8
150,Vasco da Gama,AP1,6
151,Vicente de Carvalho,AP3,0
152,Vidigal,AP2,0
153,Vigário Geral,AP3,0
154,Vila Isabel,AP2,14
155,Vila Cosmos,AP3,0
156,Vila Militar,AP5,0
157,Vila Valqueire,AP4,0
158,Vila da Penha,AP3,1
159,Vista Alegre,AP3,1
160,Váz Lobo,AP3,0
161,Zumbi,AP3,0
